ICD10_Code,description,syndrome,bacterial_syndrome
M86.319,"Chronic multifocal osteomyelitis, unspecified shoulder",bone infections,yes
M86.32,"Chronic multifocal osteomyelitis, humerus",bone infections,yes
M86.321,"Chronic multifocal osteomyelitis, right humerus",bone infections,yes
M86.322,"Chronic multifocal osteomyelitis, left humerus",bone infections,yes
M86.329,"Chronic multifocal osteomyelitis, unspecified humerus",bone infections,yes
M86.33,"Chronic multifocal osteomyelitis, radius and ulna",bone infections,yes
M86.331,"Chronic multifocal osteomyelitis, right radius and ulna",bone infections,yes
M86.332,"Chronic multifocal osteomyelitis, left radius and ulna",bone infections,yes
M86.339,"Chronic multifocal osteomyelitis, unspecified radius and ulna",bone infections,yes
M86.34,"Chronic multifocal osteomyelitis, hand",bone infections,yes
M86.341,"Chronic multifocal osteomyelitis, right hand",bone infections,yes
M86.342,"Chronic multifocal osteomyelitis, left hand",bone infections,yes
M86.349,"Chronic multifocal osteomyelitis, unspecified hand",bone infections,yes
M86.35,"Chronic multifocal osteomyelitis, femur",bone infections,yes
M86.351,"Chronic multifocal osteomyelitis, right femur",bone infections,yes
M86.352,"Chronic multifocal osteomyelitis, left femur",bone infections,yes
M86.359,"Chronic multifocal osteomyelitis, unspecified femur",bone infections,yes
M86.36,"Chronic multifocal osteomyelitis, tibia and fibula",bone infections,yes
M86.361,"Chronic multifocal osteomyelitis, right tibia and fibula",bone infections,yes
M86.362,"Chronic multifocal osteomyelitis, left tibia and fibula",bone infections,yes
M86.369,"Chronic multifocal osteomyelitis, unspecified tibia and fibula",bone infections,yes
M86.37,"Chronic multifocal osteomyelitis, ankle and foot",bone infections,yes
M86.371,"Chronic multifocal osteomyelitis, right ankle and foot",bone infections,yes
M86.372,"Chronic multifocal osteomyelitis, left ankle and foot",bone infections,yes
M86.379,"Chronic multifocal osteomyelitis, unspecified ankle and foot",bone infections,yes
M86.38,…… other site,bone infections,yes
M86.39,…… multiple sites,bone infections,yes
M86.4,Chronic osteomyelitis with draining sinus,bone infections,yes
M86.40,…… unspecified site,bone infections,yes
M86.41,"Chronic osteomyelitis with draining sinus, shoulder",bone infections,yes
M86.411,"Chronic osteomyelitis with draining sinus, right shoulder",bone infections,yes
M86.412,"M86.412 Chronic osteomyelitis with draining sinus, left shoulder",bone infections,yes
M86.419 ,"Chronic osteomyelitis with draining sinus, unspecified shoulder",bone infections,yes
M86.42 ,"Chronic osteomyelitis with draining sinus, humerus",bone infections,yes
M86.421,"Chronic osteomyelitis with draining sinus, right humerus",bone infections,yes
M86.422,"Chronic osteomyelitis with draining sinus, left humerus",bone infections,yes
M86.429,"Chronic osteomyelitis with draining sinus, unspecified humerus",bone infections,yes
M86.43,"Chronic osteomyelitis with draining sinus, radius and ulna",bone infections,yes
M86.431,"Chronic osteomyelitis with draining sinus, right radius and ulna",bone infections,yes
M86.432,"Chronic osteomyelitis with draining sinus, left radius and ulna",bone infections,yes
M86.439,"Chronic osteomyelitis with draining sinus, unspecified radius and ulna",bone infections,yes
M86.44,"Chronic osteomyelitis with draining sinus, hand",bone infections,yes
M86.441,"Chronic osteomyelitis with draining sinus, right hand",bone infections,yes
M86.442,"Chronic osteomyelitis with draining sinus, left hand",bone infections,yes
M86.449,"Chronic osteomyelitis with draining sinus, unspecified hand",bone infections,yes
M86.45,"Chronic osteomyelitis with draining sinus, femur",bone infections,yes
M86.451,"Chronic osteomyelitis with draining sinus, right femur",bone infections,yes
M86.452,"Chronic osteomyelitis with draining sinus, left femur",bone infections,yes
M86.459,"Chronic osteomyelitis with draining sinus, unspecified femur",bone infections,yes
M86.46,"Chronic osteomyelitis with draining sinus, tibia and fibula",bone infections,yes
M86.461,"Chronic osteomyelitis with draining sinus, right tibia and fibula",bone infections,yes
M86.462,"Chronic osteomyelitis with draining sinus, left tibia and fibula",bone infections,yes
M86.469,"Chronic osteomyelitis with draining sinus, unspecified tibia and fibula",bone infections,yes
M86.47,"Chronic osteomyelitis with draining sinus, ankle and foot",bone infections,yes
M86.471,"Chronic osteomyelitis with draining sinus, right ankle and foot",bone infections,yes
M86.472,"Chronic osteomyelitis with draining sinus, left ankle and foot",bone infections,yes
M86.479,"Chronic osteomyelitis with draining sinus, unspecified ankle and foot",bone infections,yes
M86.48,…… other site,bone infections,yes
M86.49,…… multiple sites,bone infections,yes
M86.5,Other chronic hematogenous osteomyelitis,bone infections,yes
M86.50,…… unspecified site,bone infections,yes
M86.51,"Other chronic hematogenous osteomyelitis, shoulder",bone infections,yes
M86.511,"Other chronic hematogenous osteomyelitis, right shoulder",bone infections,yes
M86.512,"Other chronic hematogenous osteomyelitis, left shoulder",bone infections,yes
M86.519,"Other chronic hematogenous osteomyelitis, unspecified shoulder",bone infections,yes
M86.52,"Other chronic hematogenous osteomyelitis, humerus",bone infections,yes
M86.521,"Other chronic hematogenous osteomyelitis, right humerus",bone infections,yes
M86.522,"Other chronic hematogenous osteomyelitis, left humerus",bone infections,yes
M86.529,"Other chronic hematogenous osteomyelitis, unspecified humerus",bone infections,yes
M86.53,"Other chronic hematogenous osteomyelitis, radius and ulna",bone infections,yes
M86.531,"Other chronic hematogenous osteomyelitis, right radius and ulna",bone infections,yes
M86.532,"Other chronic hematogenous osteomyelitis, left radius and ulna",bone infections,yes
M86.539,"Other chronic hematogenous osteomyelitis, unspecified radius and ulna",bone infections,yes
M86.54,"Other chronic hematogenous osteomyelitis, hand",bone infections,yes
M86.541,"Other chronic hematogenous osteomyelitis, right hand",bone infections,yes
M86.542,"Other chronic hematogenous osteomyelitis, left hand",bone infections,yes
M86.549,"Other chronic hematogenous osteomyelitis, unspecified hand",bone infections,yes
M86.55,"Other chronic hematogenous osteomyelitis, femur",bone infections,yes
M86.551,"Other chronic hematogenous osteomyelitis, right femur",bone infections,yes
M86.552,"Other chronic hematogenous osteomyelitis, left femur",bone infections,yes
M86.559,"Other chronic hematogenous osteomyelitis, unspecified femur",bone infections,yes
M86.56,"Other chronic hematogenous osteomyelitis, tibia and fibula",bone infections,yes
M86.561,"Other chronic hematogenous osteomyelitis, right tibia and fibula",bone infections,yes
M86.562,"Other chronic hematogenous osteomyelitis, left tibia and fibula",bone infections,yes
M86.569,"Other chronic hematogenous osteomyelitis, unspecified tibia and fibula",bone infections,yes
M86.57,"Other chronic hematogenous osteomyelitis, ankle and foot",bone infections,yes
M86.571,"Other chronic hematogenous osteomyelitis, right ankle and foot",bone infections,yes
M86.572,"Other chronic hematogenous osteomyelitis, left ankle and foot",bone infections,yes
M86.579,"Other chronic hematogenous osteomyelitis, unspecified ankle and foot",bone infections,yes
M86.58,…… other site,bone infections,yes
M86.59,…… multiple sites,bone infections,yes
M86.6,Other chronic osteomyelitis,bone infections,yes
M86.60,…… unspecified site,bone infections,yes
M86.61,"Other chronic osteomyelitis, shoulder",bone infections,yes
M86.611,"Other chronic osteomyelitis, right shoulder",bone infections,yes
M86.612,"Other chronic osteomyelitis, left shoulder",bone infections,yes
M86.619,"Other chronic osteomyelitis, unspecified shoulder",bone infections,yes
M86.62,"Other chronic osteomyelitis, humerus",bone infections,yes
M86.621,"Other chronic osteomyelitis, right humerus",bone infections,yes
M86.622,"Other chronic osteomyelitis, left humerus",bone infections,yes
M86.629,"Other chronic osteomyelitis, unspecified humerus",bone infections,yes
M86.63,"Other chronic osteomyelitis, radius and ulna",bone infections,yes
M86.631 ,"Other chronic osteomyelitis, right radius and ulna",bone infections,yes
M86.632 ,"Other chronic osteomyelitis, left radius and ulna",bone infections,yes
M86.639,"Other chronic osteomyelitis, unspecified radius and ulna",bone infections,yes
M86.64,"Other chronic osteomyelitis, hand",bone infections,yes
M86.641,"Other chronic osteomyelitis, right hand",bone infections,yes
M86.642,"Other chronic osteomyelitis, left hand",bone infections,yes
M86.649,"Other chronic osteomyelitis, unspecified hand",bone infections,yes
M86.65,"Other chronic osteomyelitis, thigh",bone infections,yes
M86.651,"Other chronic osteomyelitis, right thigh",bone infections,yes
M86.652,"Other chronic osteomyelitis, left thigh",bone infections,yes
M86.659,"Other chronic osteomyelitis, unspecified thigh",bone infections,yes
M86.66,"Other chronic osteomyelitis, tibia and fibula",bone infections,yes
M86.661,"Other chronic osteomyelitis, right tibia and fibula",bone infections,yes
M86.662,"Other chronic osteomyelitis, left tibia and fibula",bone infections,yes
M86.669,"Other chronic osteomyelitis, unspecified tibia and fibula",bone infections,yes
M86.67,"Other chronic osteomyelitis, ankle and foot",bone infections,yes
M86.671,"Other chronic osteomyelitis, right ankle and foot",bone infections,yes
M86.672,"Other chronic osteomyelitis, left ankle and foot",bone infections,yes
M86.679,"Other chronic osteomyelitis, unspecified ankle and foot",bone infections,yes
M86.68,…… other site,bone infections,yes
M86.69,…… multiple sites,bone infections,yes
M86.8,Other osteomyelitis,bone infections,yes
M86.8X,Other osteomyelitis,bone infections,yes
M86.8X0,…… multiple sites,bone infections,yes
M86.8X1,…… shoulder,bone infections,yes
M86.8X2,…… upper arm,bone infections,yes
M86.8X3,…… forearm,bone infections,yes
M86.8X4,…… hand,bone infections,yes
M86.8X5,…… thigh,bone infections,yes
M86.8X6,…… lower leg,bone infections,yes
M86.8X7,…… ankle and foot,bone infections,yes
M86.8X8,…… other site,bone infections,yes
M86.8X9,…… unspecified sites,bone infections,yes
M86.9,"Osteomyelitis, unspecified",bone infections,yes
M00,Pyogenic arthritis,bone infections,yes
M00.0,Staphylococcal arthritis and polyarthritis,bone infections,yes
M00.00,"Staphylococcal arthritis, unspecified joint",bone infections,yes
M00.01,"Staphylococcal arthritis, shoulder",bone infections,yes
M00.011,"Staphylococcal arthritis, right shoulder",bone infections,yes
M00.012,"Staphylococcal arthritis, left shoulder",bone infections,yes
M00.019,"Staphylococcal arthritis, unspecified shoulder",bone infections,yes
M00.02,"Staphylococcal arthritis, elbow",bone infections,yes
M00.021,"Staphylococcal arthritis, right elbow",bone infections,yes
M00.022,"Staphylococcal arthritis, left elbow",bone infections,yes
M00.029,"Staphylococcal arthritis, unspecified elbow",bone infections,yes
M00.03,"Staphylococcal arthritis, wrist",bone infections,yes
M00.031,"Staphylococcal arthritis, right wrist",bone infections,yes
M00.032,"Staphylococcal arthritis, left wrist",bone infections,yes
M00.039,"Staphylococcal arthritis, unspecified wrist",bone infections,yes
M00.04,"Staphylococcal arthritis, hand",bone infections,yes
M00.041,"Staphylococcal arthritis, right hand",bone infections,yes
M00.042,"Staphylococcal arthritis, left hand",bone infections,yes
M00.049,"Staphylococcal arthritis, unspecified hand",bone infections,yes
M00.05,"Staphylococcal arthritis, hip",bone infections,yes
M00.051,"Staphylococcal arthritis, right hip",bone infections,yes
M00.052,"Staphylococcal arthritis, left hip",bone infections,yes
M00.059,"Staphylococcal arthritis, unspecified hip",bone infections,yes
M00.06,"Staphylococcal arthritis, knee",bone infections,yes
M00.061,"Staphylococcal arthritis, right knee",bone infections,yes
M00.062,"Staphylococcal arthritis, left knee",bone infections,yes
M00.069,"Staphylococcal arthritis, unspecified knee",bone infections,yes
M00.07,"Staphylococcal arthritis, ankle and foot",bone infections,yes
M00.071,"Staphylococcal arthritis, right ankle and foot",bone infections,yes
M00.072,"Staphylococcal arthritis, left ankle and foot",bone infections,yes
M00.079,"Staphylococcal arthritis, unspecified ankle and foot",bone infections,yes
M00.08,"Staphylococcal arthritis, vertebrae",bone infections,yes
M00.09,Staphylococcal polyarthritis,bone infections,yes
M00.1,Pneumococcal arthritis and polyarthritis,bone infections,yes
M00.10,"Pneumococcal arthritis, unspecified joint",bone infections,yes
M00.11,"Pneumococcal arthritis, shoulder",bone infections,yes
M00.111,"Pneumococcal arthritis, right shoulder",bone infections,yes
M00.112,"Pneumococcal arthritis, left shoulder",bone infections,yes
M00.119,"Pneumococcal arthritis, unspecified shoulder",bone infections,yes
M00.12,"Pneumococcal arthritis, elbow",bone infections,yes
M00.121,"Pneumococcal arthritis, right elbow",bone infections,yes
M00.122,"Pneumococcal arthritis, left elbow",bone infections,yes
M00.129,"Pneumococcal arthritis, unspecified elbow",bone infections,yes
M00.13,"Pneumococcal arthritis, wrist",bone infections,yes
M00.131,"Pneumococcal arthritis, right wrist",bone infections,yes
M00.132,"Pneumococcal arthritis, left wrist",bone infections,yes
M00.139,"Pneumococcal arthritis, unspecified wrist",bone infections,yes
M00.14,"Pneumococcal arthritis, hand",bone infections,yes
M00.141,"Pneumococcal arthritis, right hand",bone infections,yes
M00.142,"Pneumococcal arthritis, left hand",bone infections,yes
M00.149,"Pneumococcal arthritis, unspecified hand",bone infections,yes
M00.15,"Pneumococcal arthritis, hip",bone infections,yes
M00.151,"Pneumococcal arthritis, right hip",bone infections,yes
M00.152,"Pneumococcal arthritis, left hip",bone infections,yes
M00.159,"Pneumococcal arthritis, unspecified hip",bone infections,yes
M00.16,"Pneumococcal arthritis, knee",bone infections,yes
M00.161,"Pneumococcal arthritis, right knee",bone infections,yes
M00.162,"Pneumococcal arthritis, left knee",bone infections,yes
M00.169,"Pneumococcal arthritis, unspecified knee",bone infections,yes
M00.17,"Pneumococcal arthritis, ankle and foot",bone infections,yes
M00.171,"Pneumococcal arthritis, right ankle and foot",bone infections,yes
M00.172,"Pneumococcal arthritis, left ankle and foot",bone infections,yes
M00.179 ,"Pneumococcal arthritis, unspecified ankle and foot",bone infections,yes
M00.18,"Pneumococcal arthritis, vertebrae",bone infections,yes
M00.19,Pneumococcal polyarthritis,bone infections,yes
M00.2,Other streptococcal arthritis and polyarthritis,bone infections,yes
M00.20,"Other streptococcal arthritis, unspecified joint",bone infections,yes
M00.21,"Other streptococcal arthritis, shoulder",bone infections,yes
M00.211,"Other streptococcal arthritis, right shoulder",bone infections,yes
M00.212,"Other streptococcal arthritis, left shoulder",bone infections,yes
M00.219,"Other streptococcal arthritis, unspecified shoulder",bone infections,yes
M00.22,"Other streptococcal arthritis, elbow",bone infections,yes
M00.221,"Other streptococcal arthritis, right elbow",bone infections,yes
M00.222,"Other streptococcal arthritis, left elbow",bone infections,yes
M00.229,"Other streptococcal arthritis, unspecified elbow",bone infections,yes
M00.23,"Other streptococcal arthritis, wrist",bone infections,yes
M00.231,"Other streptococcal arthritis, right wrist",bone infections,yes
M00.232,"Other streptococcal arthritis, left wrist",bone infections,yes
M00.239,"Other streptococcal arthritis, unspecified wrist",bone infections,yes
M00.24,"Other streptococcal arthritis, hand",bone infections,yes
M00.241,"Other streptococcal arthritis, right hand",bone infections,yes
M00.242,"Other streptococcal arthritis, left hand",bone infections,yes
M00.249,"Other streptococcal arthritis, unspecified hand",bone infections,yes
M00.25,"Other streptococcal arthritis, hip",bone infections,yes
M00.251,"Other streptococcal arthritis, right hip",bone infections,yes
M00.252,"Other streptococcal arthritis, left hip",bone infections,yes
M00.259,"Other streptococcal arthritis, unspecified hip",bone infections,yes
M00.26,"Other streptococcal arthritis, knee",bone infections,yes
M00.261,"Other streptococcal arthritis, right knee",bone infections,yes
M00.262,"Other streptococcal arthritis, left knee",bone infections,yes
M00.269,"Other streptococcal arthritis, unspecified knee",bone infections,yes
M00.27,"Other streptococcal arthritis, ankle and foot",bone infections,yes
M00.271,"Other streptococcal arthritis, right ankle and foot",bone infections,yes
M00.272,"Other streptococcal arthritis, left ankle and foot",bone infections,yes
M00.279,"Other streptococcal arthritis, unspecified ankle and foot",bone infections,yes
